Date,Brooks 100SCCM [mLn/min],Brooks 2.5SLM [mLn/min],Bronkhorst 100SCCM [mLn/min], Bronkhorst 2.5SLM[mLn/min]
2024-12-13 12:33:26,12.48,2212.12,14.997745513916016,2250.0030994415283
2024-12-13 12:33:32,12.78,2221.88,14.995058059692383,2250.138521194458
2024-12-13 12:33:37,12.68,2214.56,14.995888710021973,2250.0827312469482
2024-12-13 12:33:42,12.68,2214.56,14.994961738586426,2250.088691711426
2024-12-13 12:33:47,12.78,2214.56,14.993313789367676,2250.1490116119385
2024-12-13 12:33:52,12.78,2219.44,14.995037078857422,2250.138282775879
2024-12-13 12:33:57,12.78,2224.32,14.990654945373535,2250.1041889190674
2024-12-13 12:34:02,12.78,2224.32,14.997625350952148,2250.1227855682373
2024-12-13 12:34:07,12.78,2224.32,14.998610496520996,2249.990463256836
2024-12-13 12:34:12,12.78,2224.32,15.001629829406738,2249.9263286590576
2024-12-13 12:34:17,12.78,2214.56,15.001819610595703,2249.8815059661865
2024-12-13 12:34:22,12.78,2224.32,15.003789901733398,2249.915838241577
2024-12-13 12:34:27,12.68,2212.12,15.004560470581055,2249.917507171631
2024-12-13 12:34:32,12.68,2214.56,15.003305435180664,2249.8865127563477
2024-12-13 12:34:37,12.68,2214.56,15.00933837890625,2249.9632835388184
2024-12-13 12:34:42,12.78,2212.12,15.012249946594238,2249.911308288574
2024-12-13 12:34:47,12.78,2224.32,15.007221221923828,2249.8204708099365
2024-12-13 12:34:52,12.78,2214.56,15.008264541625977,2249.9423027038574
2024-12-13 12:34:57,12.68,2214.56,15.009880065917969,2249.9144077301025
2024-12-13 12:35:02,12.68,2214.56,15.003687858581543,2249.861478805542
2024-12-13 12:35:07,12.68,2212.12,15.006233215332031,2249.938488006592
2024-12-13 12:35:12,12.78,2224.32,15.00432014465332,2249.8679161071777
2024-12-13 12:35:17,12.68,2214.56,15.004632949829102,2250.028133392334
2024-12-13 12:35:22,12.68,2214.56,14.991731643676758,2249.988794326782
2024-12-13 12:35:27,12.68,2214.56,15.002521514892578,2250.0505447387695
2024-12-13 12:35:32,12.68,2214.56,14.996983528137207,2250.1046657562256
2024-12-13 12:35:37,12.78,2224.32,14.996195793151855,2250.131607055664
2024-12-13 12:35:43,12.68,2214.56,14.994291305541992,2250.16713142395
2024-12-13 12:35:48,12.68,2214.56,14.983259201049805,2250.0805854797363
2024-12-13 12:35:53,12.78,2217.00,14.99142074584961,2250.072240829468
2024-12-13 12:35:58,12.68,2217.00,14.99288558959961,2250.145673751831
2024-12-13 12:36:03,12.78,2224.32,14.988910675048828,2250.0789165496826
2024-12-13 12:36:08,12.68,2217.00,14.989974975585938,2250.0858306884766
2024-12-13 12:36:13,12.78,2224.32,14.99488639831543,2250.0810623168945
2024-12-13 12:36:18,12.78,2224.32,14.995321273803711,2250.0810623168945
2024-12-13 12:36:23,12.78,2226.77,14.99244213104248,2250.093460083008
2024-12-13 12:36:28,12.78,2224.32,14.998006820678711,2250.098943710327
2024-12-13 12:36:33,12.78,2226.77,15.002752304077148,2249.974250793457
2024-12-13 12:36:38,12.78,2224.32,14.999144554138184,2249.9659061431885
2024-12-13 12:36:43,12.68,2214.56,15.002437591552734,2249.9754428863525
2024-12-13 12:36:48,12.68,2219.44,15.010086059570312,2249.7806549072266
2024-12-13 12:36:53,12.78,2217.00,15.002881050109863,2249.9656677246094
2024-12-13 12:36:58,12.68,2217.00,15.00082015991211,2249.927520751953
2024-12-13 12:37:03,12.68,2217.00,15.001479148864746,2249.927759170532
2024-12-13 12:37:08,12.78,2217.00,15.005378723144531,2249.917507171631
2024-12-13 12:37:13,12.68,2217.00,14.995988845825195,2249.936580657959
2024-12-13 12:37:18,12.78,2217.00,15.005261421203613,2249.8936653137207
2024-12-13 12:37:23,12.68,2214.56,15.00684928894043,2249.926805496216
2024-12-13 12:37:28,12.68,2217.00,15.00802230834961,2249.8373985290527
2024-12-13 12:37:33,12.78,2214.56,15.005106925964355,2249.89914894104
2024-12-13 12:37:38,12.78,2212.12,15.007743835449219,2249.887466430664
2024-12-13 12:37:43,12.68,2214.56,14.996946334838867,2250.049114227295
2024-12-13 12:37:49,12.68,2217.00,15.002649307250977,2250.049352645874
2024-12-13 12:37:54,12.68,2217.00,14.99590015411377,2250.1139640808105
2024-12-13 12:37:59,12.88,2217.00,14.99709415435791,2250.164031982422
2024-12-13 12:38:04,12.68,2217.00,14.993003845214844,2250.091791152954
2024-12-13 12:38:09,12.68,2217.00,14.99763298034668,2250.1351833343506
2024-12-13 12:38:14,12.68,2217.00,14.99754524230957,2250.0970363616943
2024-12-13 12:38:19,12.68,2217.00,14.992965698242188,2250.0505447387695
2024-12-13 12:38:24,12.78,2219.44,14.994250297546387,2250.1471042633057
2024-12-13 12:38:29,12.68,2214.56,15.001181602478027,2250.025749206543
2024-12-13 12:38:34,12.78,2226.77,14.990013122558594,2250.150680541992
2024-12-13 12:38:39,12.68,2217.00,14.999113082885742,2250.154733657837
2024-12-13 12:38:44,12.78,2226.77,14.999874114990234,2250.145673751831
2024-12-13 12:38:49,12.68,2224.32,14.993857383728027,2250.0998973846436
